NoShowRatio,AppointmentData,DayOfTheWeek
0.3083067092651757,2014-11-18,2
0.246875,2015-11-18,3
0.3078231292517007,2014-12-18,4
0.3253012048192771,2015-12-18,5
0.28851963746223563,2014-02-18,2
0.260797342192691,2014-03-18,2
0.2700490998363339,2015-03-18,3
0.3099688473520249,2015-05-18,1
0.30527817403708984,2014-06-18,3
0.28267045454545453,2015-06-18,4
0.2714285714285714,2014-07-18,5
0.27601809954751133,2014-08-18,1
0.265139116202946,2015-08-18,2
0.2539912917271408,2014-09-18,4
0.29504950495049503,2015-09-18,5
0.3519163763066202,2015-01-19,1
0.30495356037151705,2015-10-19,1
0.31266846361185985,2014-11-19,3
0.2975206611570248,2015-11-19,4
0.31773879142300193,2014-12-19,5
0.28989751098096633,2014-02-19,3
0.3200836820083682,2015-02-19,4
0.2725880551301684,2014-03-19,3
0.35506003430531735,2015-03-19,4
0.2946298984034833,2014-05-19,1
0.33195020746887965,2015-05-19,2
0.2953451043338684,2015-06-19,5
0.25,2014-07-19,6
0.2762973352033661,2014-08-19,2
0.24058919803600654,2015-08-19,3
0.28313253012048195,2014-09-19,5
0.3812316715542522,2014-01-02,4
1.0,2015-01-02,5
0.321656050955414,2014-10-02,4
0.3041825095057034,2015-10-02,5
0.23981191222570533,2014-12-02,2
0.30201342281879195,2015-12-02,3
0.33220910623946037,2015-02-02,1
0.30368098159509205,2015-03-02,1
0.3164983164983165,2014-04-02,3
0.3880597014925373,2015-04-02,4
0.3389830508474576,2014-05-02,5
0.29635499207606975,2014-06-02,1
0.2530487804878049,2015-06-02,2
0.27906976744186046,2014-07-02,3
0.31794871794871793,2015-07-02,4
0.26615384615384613,2014-09-02,2
0.26825127334465193,2015-09-02,3
0.2757417102966841,2014-01-20,1
0.24511545293072823,2015-01-20,2
0.35704323570432356,2014-10-20,1
0.24382716049382716,2015-10-20,2
0.3,2014-11-20,4
0.28440366972477066,2015-11-20,5
0.30976430976430974,2014-02-20,4
0.2927835051546392,2015-02-20,5
0.27716535433070866,2014-03-20,4
0.3263157894736842,2015-03-20,5
0.29428571428571426,2014-05-20,2
0.302496328928047,2015-05-20,3
0.38164251207729466,2014-06-20,5
0.28217821782178215,2015-07-20,1
0.30027932960893855,2014-08-20,3
0.3018242122719735,2015-08-20,4
0.30097087378640774,2014-09-20,6
0.2761437908496732,2014-01-21,2
0.26288659793814434,2015-01-21,3
0.34234234234234234,2014-10-21,2
0.2597864768683274,2015-10-21,3
0.3136,2014-11-21,5
0.3293103448275862,2015-12-21,1
0.3076923076923077,2014-02-21,5
0.32653061224489793,2014-03-21,5
1.0,2015-03-21,6
0.2672672672672673,2014-05-21,3
0.2943786982248521,2015-05-21,4
1.0,2014-06-21,6
0.26875,2014-07-21,1
0.28500823723228996,2015-07-21,2
0.3,2014-08-21,4
0.30237154150197626,2015-08-21,5
0.2861685214626391,2015-09-21,1
0.2558922558922559,2014-01-22,3
0.23877917414721722,2015-01-22,4
0.33992094861660077,2014-10-22,3
0.28067484662576686,2015-10-22,4
0.3559322033898305,2014-12-22,1
0.31417624521072796,2015-12-22,2
0.3333333333333333,2014-02-22,6
0.3888888888888889,2014-03-22,6
0.32062391681109187,2014-04-22,2
0.32769230769230767,2015-04-22,3
0.2759146341463415,2014-05-22,4
0.2943201376936317,2015-05-22,5
0.3229166666666667,2015-06-22,1
0.24071322436849926,2014-07-22,2
0.2799325463743676,2015-07-22,3
0.32909379968203495,2014-08-22,5
0.32755905511811023,2014-09-22,1
0.2710843373493976,2015-09-22,2
0.23716814159292035,2014-01-23,4
0.288981288981289,2015-01-23,5
0.29777777777777775,2014-10-23,4
0.3235955056179775,2015-10-23,5
0.3074670571010249,2015-11-23,1
0.34296028880866425,2014-12-23,2
0.301707779886148,2015-12-23,3
0.31098430813124106,2015-02-23,1
0.30126182965299686,2015-03-23,1
0.3327922077922078,2014-04-23,3
0.28700906344410876,2015-04-23,4
0.35542168674698793,2014-06-23,1
0.29055007052186177,2015-06-23,2
0.26843657817109146,2014-07-23,3
0.25254237288135595,2015-07-23,4
0.38235294117647056,2014-08-23,6
0.28721804511278193,2014-09-23,2
0.24006359300476948,2015-09-23,3
0.22664015904572565,2014-01-24,5
0.3114754098360656,2014-10-24,5
0.417910447761194,2015-10-24,6
0.29521276595744683,2014-11-24,1
0.32013769363166955,2015-11-24,2
0.2702702702702703,2014-12-24,3
0.38271604938271603,2014-02-24,1
0.2712842712842713,2015-02-24,2
0.3829787234042553,2014-03-24,1
0.2907692307692308,2015-03-24,2
0.32792207792207795,2014-04-24,4
0.30016583747927034,2015-04-24,5
0.28610354223433243,2014-06-24,2
0.2822349570200573,2015-06-24,3
